Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Which symbol correctly compares -262 and -454? (-262 ___ -454),≥,<,>,=,C,-262 > -454.,Math / Mathematics,Comparison
Which symbol correctly compares 269 and 293? (269 ___ 293),=,>,<,≥,C,269 < 293.,Math / Mathematics,Comparison
Solve for x: 2x + (-42) = -62,-6,-12,-9,-10,D,"2x = -62 - (-42) = -20, so x = -20/2 = -10.",Math / Mathematics,Equations
Solve for x: 9x + (26) = 89,7,11,9,8,A,"9x = 89 - (26) = 63, so x = 63/9 = 7.",Math / Mathematics,Equations
Solve for x: 8x + (36) = 140,9,13,11,15,B,"8x = 140 - (36) = 104, so x = 104/8 = 13.",Math / Mathematics,Equations
What is 2226 ÷ 21?,106,111,108,103,A,"2226 ÷ 21 = 106, since 21 × 106 = 2226.",Math / Mathematics,Division
What is 12% of 140?,32,17,37,22,B,12% of 140 = (12/100) × 140 = 17.,Math / Mathematics,Percentage
What is 25% of 1130?,287,282,292,297,B,25% of 1130 = (25/100) × 1130 = 282.,Math / Mathematics,Percentage
Solve for x: 6x + (-30) = -144,-22,-16,-19,-21,C,"6x = -144 - (-30) = -114, so x = -114/6 = -19.",Math / Mathematics,Equations
Which symbol correctly compares 325 and 394? (325 ___ 394),<,≥,>,=,A,325 < 394.,Math / Mathematics,Comparison
Which symbol correctly compares 85 and 236? (85 ___ 236),>,<,=,≥,B,85 < 236.,Math / Mathematics,Comparison
What is 16.21 + 117.59?,135.80,133.80,134.30,133.30,B,16.21 + 117.59 = 133.80.,Math / Mathematics,Decimals
What is 4/7 + 4/8 (in simplest form)?,14/13,16/13,15/14,16/14,C,4/7 + 4/8 = 15/14 = 15/14 in simplest form.,Math / Mathematics,Fractions
What is 1574 - 922?,650,652,653,651,B,1574 - 922 = 652.,Math / Mathematics,Subtraction
What is 8/12 + 9/9 (in simplest form)?,6/5,6/4,7/2,5/3,D,8/12 + 9/9 = 5/3 = 5/3 in simplest form.,Math / Mathematics,Fractions
What is 5% of 1400?,65,75,90,70,D,5% of 1400 = (5/100) × 1400 = 70.,Math / Mathematics,Percentage
Solve for x: 9x + (49) = 130,12,13,6,9,D,"9x = 130 - (49) = 81, so x = 81/9 = 9.",Math / Mathematics,Equations
What is 168.08 - 128.44?,38.64,41.64,39.64,39.54,C,168.08 - 128.44 = 39.64.,Math / Mathematics,Decimals
What is 35 ÷ 7?,1,6,10,5,D,"35 ÷ 7 = 5, since 7 × 5 = 35.",Math / Mathematics,Division
What is 84.74 + 173.8?,258.64,258.04,259.54,258.54,D,84.74 + 173.8 = 258.54.,Math / Mathematics,Decimals
What is 50% of 510?,250,275,255,260,C,50% of 510 = (50/100) × 510 = 255.,Math / Mathematics,Percentage
What is 1944 + 2839?,4788,4778,4783,4793,C,1944 + 2839 = 4783.,Math / Mathematics,Addition
What is 9441 + 9541?,18972,18984,19002,18982,D,9441 + 9541 = 18982.,Math / Mathematics,Addition
What is 9/10 + 3/8 (in simplest form)?,53/41,51/40,50/41,49/39,B,9/10 + 3/8 = 51/40 = 51/40 in simplest form.,Math / Mathematics,Fractions
What is 5/8 + 5/3 (in simplest form)?,53/24,54/23,53/23,55/24,D,5/8 + 5/3 = 55/24 = 55/24 in simplest form.,Math / Mathematics,Fractions
What is 3861 - 384?,3457,3497,3477,3487,C,3861 - 384 = 3477.,Math / Mathematics,Subtraction
What is 6336 ÷ 33?,192,189,195,190,A,"6336 ÷ 33 = 192, since 33 × 192 = 6336.",Math / Mathematics,Division
What is 3969 + 5554?,9523,9521,9543,9503,A,3969 + 5554 = 9523.,Math / Mathematics,Addition
What is 75% of 110?,97,82,92,87,B,75% of 110 = (75/100) × 110 = 82.,Math / Mathematics,Percentage
What is 2686 ÷ 34?,79,77,78,75,A,"2686 ÷ 34 = 79, since 34 × 79 = 2686.",Math / Mathematics,Division
What is 159.13 + 112.69?,273.82,271.82,272.32,270.82,B,159.13 + 112.69 = 271.82.,Math / Mathematics,Decimals
What is 9057 + 7827?,16889,16884,16864,16882,B,9057 + 7827 = 16884.,Math / Mathematics,Addition
What is 106.14 + 116.98?,223.12,222.62,224.12,225.12,A,106.14 + 116.98 = 223.12.,Math / Mathematics,Decimals
What is 143 ÷ 13?,11,10,6,13,A,"143 ÷ 13 = 11, since 13 × 11 = 143.",Math / Mathematics,Division
What is 4393 + 934?,5347,5326,5327,5328,C,4393 + 934 = 5327.,Math / Mathematics,Addition
What is 119.03 - 62.99?,58.04,57.04,56.14,56.04,D,119.03 - 62.99 = 56.04.,Math / Mathematics,Decimals
Solve for x: 11x + (-29) = -150,-11,-15,-10,-9,A,"11x = -150 - (-29) = -121, so x = -121/11 = -11.",Math / Mathematics,Equations
What is 4830 ÷ 46?,106,105,102,108,B,"4830 ÷ 46 = 105, since 46 × 105 = 4830.",Math / Mathematics,Division
What is 1648 - 932?,711,716,706,696,B,1648 - 932 = 716.,Math / Mathematics,Subtraction
What is 9473 + 2290?,11773,11763,11753,11768,B,9473 + 2290 = 11763.,Math / Mathematics,Addition
What is 72 × 41?,2950,2911,2952,2942,C,72 × 41 = 2952.,Math / Mathematics,Multiplication
What is 25.83 - 4.3?,21.03,23.53,19.53,21.53,D,25.83 - 4.3 = 21.53.,Math / Mathematics,Decimals
What is 70 × 40?,2800,2790,2870,2802,A,70 × 40 = 2800.,Math / Mathematics,Multiplication
What is 81 × 56?,4535,4592,4536,4480,C,81 × 56 = 4536.,Math / Mathematics,Multiplication
What is 25% of 1560?,410,380,405,390,D,25% of 1560 = (25/100) × 1560 = 390.,Math / Mathematics,Percentage
What is 4831 - 794?,4037,4035,4032,4042,A,4831 - 794 = 4037.,Math / Mathematics,Subtraction
What is 969 ÷ 17?,55,54,56,57,D,"969 ÷ 17 = 57, since 17 × 57 = 969.",Math / Mathematics,Division
What is 5/9 + 5/9 (in simplest form)?,9/8,12/11,8/10,10/9,D,5/9 + 5/9 = 10/9 = 10/9 in simplest form.,Math / Mathematics,Fractions
What is 15% of 980?,157,147,127,142,B,15% of 980 = (15/100) × 980 = 147.,Math / Mathematics,Percentage
What is 56 × 21?,1197,1174,1176,1166,C,56 × 21 = 1176.,Math / Mathematics,Multiplication
What is 15% of 1140?,176,191,166,171,D,15% of 1140 = (15/100) × 1140 = 171.,Math / Mathematics,Percentage
What is 3/7 + 5/7 (in simplest form)?,8/7,9/9,9/7,7/6,A,3/7 + 5/7 = 8/7 = 8/7 in simplest form.,Math / Mathematics,Fractions
Solve for x: 11x + (10) = 131,9,11,13,15,B,"11x = 131 - (10) = 121, so x = 121/11 = 11.",Math / Mathematics,Equations
Solve for x: 9x + (-4) = 104,16,13,12,14,C,"9x = 104 - (-4) = 108, so x = 108/9 = 12.",Math / Mathematics,Equations
What is 125.74 + 137.88?,263.72,265.62,263.52,263.62,D,125.74 + 137.88 = 263.62.,Math / Mathematics,Decimals
What is 53 × 34?,1768,1802,1804,1836,B,53 × 34 = 1802.,Math / Mathematics,Multiplication
What is 64 - 56?,13,8,3,7,B,64 - 56 = 8.,Math / Mathematics,Subtraction
What is 45 × 45?,2026,2015,2027,2025,D,45 × 45 = 2025.,Math / Mathematics,Multiplication
What is 3/11 + 1/4 (in simplest form)?,24/43,21/44,25/43,23/44,D,3/11 + 1/4 = 23/44 = 23/44 in simplest form.,Math / Mathematics,Fractions
What is 7/12 + 3/7 (in simplest form)?,86/86,85/84,83/84,87/84,B,7/12 + 3/7 = 85/84 = 85/84 in simplest form.,Math / Mathematics,Fractions
What is 7/7 + 1/3 (in simplest form)?,5/3,3/5,6/5,4/3,D,7/7 + 1/3 = 4/3 = 4/3 in simplest form.,Math / Mathematics,Fractions
What is 7796 - 3466?,4332,4335,4330,4329,C,7796 - 3466 = 4330.,Math / Mathematics,Subtraction
What is 588 ÷ 6?,102,99,98,93,C,"588 ÷ 6 = 98, since 6 × 98 = 588.",Math / Mathematics,Division
What is 73.53 - 34.9?,36.63,38.53,38.63,38.13,C,73.53 - 34.9 = 38.63.,Math / Mathematics,Decimals
What is 47.89 - 42.6?,7.29,4.79,5.79,5.29,D,47.89 - 42.6 = 5.29.,Math / Mathematics,Decimals
What is 7/7 + 1/4 (in simplest form)?,5/4,7/6,6/4,7/3,A,7/7 + 1/4 = 5/4 = 5/4 in simplest form.,Math / Mathematics,Fractions
What is 8/5 + 6/5 (in simplest form)?,13/5,13/7,14/5,15/6,C,8/5 + 6/5 = 14/5 = 14/5 in simplest form.,Math / Mathematics,Fractions
What is 59 × 46?,2714,2716,2668,2773,A,59 × 46 = 2714.,Math / Mathematics,Multiplication
Which symbol correctly compares 38 and -428? (38 ___ -428),>,≥,<,=,A,38 > -428.,Math / Mathematics,Comparison
What is 75 × 96?,7296,7275,7202,7200,D,75 × 96 = 7200.,Math / Mathematics,Multiplication
What is 169.24 - 11.16?,158.08,157.08,158.18,157.58,A,169.24 - 11.16 = 158.08.,Math / Mathematics,Decimals
What is 86 × 34?,2958,3010,2924,2926,C,86 × 34 = 2924.,Math / Mathematics,Multiplication
What is 348 + 1726?,2074,2054,2069,2076,A,348 + 1726 = 2074.,Math / Mathematics,Addition
What is 5802 - 3596?,2206,2208,2204,2216,A,5802 - 3596 = 2206.,Math / Mathematics,Subtraction
What is 1426 + 7201?,8629,8627,8637,8622,B,1426 + 7201 = 8627.,Math / Mathematics,Addition
What is 4/6 + 3/10 (in simplest form)?,28/31,29/30,31/31,27/32,B,4/6 + 3/10 = 29/30 = 29/30 in simplest form.,Math / Mathematics,Fractions
Solve for x: 4x + (-31) = -31,-4,-1,0,-3,C,"4x = -31 - (-31) = 0, so x = 0/4 = 0.",Math / Mathematics,Equations
What is 9634 + 6203?,15839,15836,15817,15837,D,9634 + 6203 = 15837.,Math / Mathematics,Addition
What is 60% of 1990?,1194,1174,1209,1199,A,60% of 1990 = (60/100) × 1990 = 1194.,Math / Mathematics,Percentage
What is 7/10 + 3/5 (in simplest form)?,13/10,12/9,15/11,15/12,A,7/10 + 3/5 = 13/10 = 13/10 in simplest form.,Math / Mathematics,Fractions
What is 38 × 61?,2356,2280,2318,2308,C,38 × 61 = 2318.,Math / Mathematics,Multiplication
What is 21 × 64?,1344,1342,1408,1334,A,21 × 64 = 1344.,Math / Mathematics,Multiplication
Which symbol correctly compares -482 and 411? (-482 ___ 411),≥,=,<,>,C,-482 < 411.,Math / Mathematics,Comparison
What is 114.66 - 72.06?,44.60,42.70,42.10,42.60,D,114.66 - 72.06 = 42.60.,Math / Mathematics,Decimals
What is 2504 + 509?,2993,3014,3011,3013,D,2504 + 509 = 3013.,Math / Mathematics,Addition
Solve for x: 12x + (-1) = -169,-13,-14,-15,-17,B,"12x = -169 - (-1) = -168, so x = -168/12 = -14.",Math / Mathematics,Equations
What is 1056 ÷ 11?,97,93,96,95,C,"1056 ÷ 11 = 96, since 11 × 96 = 1056.",Math / Mathematics,Division
What is 7166 - 3025?,4161,4136,4131,4141,D,7166 - 3025 = 4141.,Math / Mathematics,Subtraction
What is 61 × 32?,1962,1891,1952,1950,C,61 × 32 = 1952.,Math / Mathematics,Multiplication
Solve for x: 8x + (-4) = -68,-5,-4,-12,-8,D,"8x = -68 - (-4) = -64, so x = -64/8 = -8.",Math / Mathematics,Equations
What is 750 ÷ 15?,45,48,50,49,C,"750 ÷ 15 = 50, since 15 × 50 = 750.",Math / Mathematics,Division
What is 40% of 1180?,477,472,467,492,B,40% of 1180 = (40/100) × 1180 = 472.,Math / Mathematics,Percentage
What is 10 × 16?,159,161,160,158,C,10 × 16 = 160.,Math / Mathematics,Multiplication
What is 5644 ÷ 34?,166,161,170,164,A,"5644 ÷ 34 = 166, since 34 × 166 = 5644.",Math / Mathematics,Division
What is 6600 ÷ 44?,154,149,150,153,C,"6600 ÷ 44 = 150, since 44 × 150 = 6600.",Math / Mathematics,Division
What is 30% of 50?,5,0,10,15,D,30% of 50 = (30/100) × 50 = 15.,Math / Mathematics,Percentage
What is 2957 - 960?,1997,1995,1992,1987,A,2957 - 960 = 1997.,Math / Mathematics,Subtraction
What is 25% of 450?,112,117,97,102,A,25% of 450 = (25/100) × 450 = 112.,Math / Mathematics,Percentage
What is 68.82 + 60.89?,127.71,130.71,128.71,129.71,D,68.82 + 60.89 = 129.71.,Math / Mathematics,Decimals
What is 10% of 1220?,122,107,102,127,A,10% of 1220 = (10/100) × 1220 = 122.,Math / Mathematics,Percentage
What is 40% of 180?,67,72,87,62,B,40% of 180 = (40/100) × 180 = 72.,Math / Mathematics,Percentage
Solve for x: 9x + (-4) = -4,-1,-3,1,0,D,"9x = -4 - (-4) = 0, so x = 0/9 = 0.",Math / Mathematics,Equations
What is 110.11 + 186.24?,297.35,296.35,296.45,298.35,B,110.11 + 186.24 = 296.35.,Math / Mathematics,Decimals
Solve for x: 8x + (47) = 79,3,0,5,4,D,"8x = 79 - (47) = 32, so x = 32/8 = 4.",Math / Mathematics,Equations
What is 186.29 - 40.2?,148.09,147.09,146.59,146.09,D,186.29 - 40.2 = 146.09.,Math / Mathematics,Decimals
What is 4946 - 4042?,884,903,904,909,C,4946 - 4042 = 904.,Math / Mathematics,Subtraction
What is 181.95 - 90.61?,91.24,91.34,91.44,91.84,B,181.95 - 90.61 = 91.34.,Math / Mathematics,Decimals
What is 34 × 23?,781,782,784,759,B,34 × 23 = 782.,Math / Mathematics,Multiplication
What is 75% of 120?,90,85,80,100,A,75% of 120 = (75/100) × 120 = 90.,Math / Mathematics,Percentage
What is 1139 - 159?,982,980,990,970,B,1139 - 159 = 980.,Math / Mathematics,Subtraction
Solve for x: 3x + (22) = 55,12,13,11,9,C,"3x = 55 - (22) = 33, so x = 33/3 = 11.",Math / Mathematics,Equations
What is 4377 - 4314?,62,58,63,61,C,4377 - 4314 = 63.,Math / Mathematics,Subtraction
Solve for x: 12x + (-21) = -21,2,0,-4,4,B,"12x = -21 - (-21) = 0, so x = 0/12 = 0.",Math / Mathematics,Equations
What is 5% of 310?,16,31,26,21,A,5% of 310 = (5/100) × 310 = 16.,Math / Mathematics,Percentage
What is 7307 + 4373?,11680,11700,11670,11675,A,7307 + 4373 = 11680.,Math / Mathematics,Addition
What is 180.91 - 84.11?,95.80,94.80,96.80,97.30,C,180.91 - 84.11 = 96.80.,Math / Mathematics,Decimals
What is 1/9 + 8/6 (in simplest form)?,13/9,14/8,14/11,12/11,A,1/9 + 8/6 = 13/9 = 13/9 in simplest form.,Math / Mathematics,Fractions
What is 178.47 + 165.61?,344.58,344.18,343.08,344.08,D,178.47 + 165.61 = 344.08.,Math / Mathematics,Decimals
Solve for x: 5x + (9) = -21,-10,-9,-6,-4,C,"5x = -21 - (9) = -30, so x = -30/5 = -6.",Math / Mathematics,Equations
What is 5922 ÷ 47?,131,125,122,126,D,"5922 ÷ 47 = 126, since 47 × 126 = 5922.",Math / Mathematics,Division
Solve for x: 10x + (23) = -167,-16,-17,-19,-23,C,"10x = -167 - (23) = -190, so x = -190/10 = -19.",Math / Mathematics,Equations
What is 72 × 65?,4608,4615,4680,4681,C,72 × 65 = 4680.,Math / Mathematics,Multiplication
Which symbol correctly compares 427 and -287? (427 ___ -287),=,<,≥,>,D,427 > -287.,Math / Mathematics,Comparison
What is 9/8 + 7/8 (in simplest form)?,4/3,3/1,1/2,2/1,D,9/8 + 7/8 = 2 = 2/1 in simplest form.,Math / Mathematics,Fractions
What is 2751 - 1559?,1212,1182,1192,1172,C,2751 - 1559 = 1192.,Math / Mathematics,Subtraction
Solve for x: 12x + (24) = 228,14,18,13,17,D,"12x = 228 - (24) = 204, so x = 204/12 = 17.",Math / Mathematics,Equations
What is 4697 + 4140?,8842,8839,8857,8837,D,4697 + 4140 = 8837.,Math / Mathematics,Addition
What is 1/12 + 3/6 (in simplest form)?,9/11,5/11,8/13,7/12,D,1/12 + 3/6 = 7/12 = 7/12 in simplest form.,Math / Mathematics,Fractions
What is 18 × 81?,1458,1448,1460,1459,A,18 × 81 = 1458.,Math / Mathematics,Multiplication
What is 5311 - 166?,5144,5147,5145,5155,C,5311 - 166 = 5145.,Math / Mathematics,Subtraction
What is 9680 - 7071?,2609,2629,2619,2604,A,9680 - 7071 = 2609.,Math / Mathematics,Subtraction
What is 4/5 + 1/3 (in simplest form)?,18/17,17/15,15/16,15/15,B,4/5 + 1/3 = 17/15 = 17/15 in simplest form.,Math / Mathematics,Fractions
What is 181.11 - 125.45?,56.16,57.66,53.66,55.66,D,181.11 - 125.45 = 55.66.,Math / Mathematics,Decimals
What is 4/7 + 9/2 (in simplest form)?,73/16,71/14,73/14,73/15,B,4/7 + 9/2 = 71/14 = 71/14 in simplest form.,Math / Mathematics,Fractions
What is 8371 - 8226?,140,145,135,150,B,8371 - 8226 = 145.,Math / Mathematics,Subtraction
What is 177.74 - 153.17?,26.57,24.07,24.57,25.07,C,177.74 - 153.17 = 24.57.,Math / Mathematics,Decimals
Solve for x: 3x + (26) = -22,-20,-13,-17,-16,D,"3x = -22 - (26) = -48, so x = -48/3 = -16.",Math / Mathematics,Equations
What is 9851 + 8759?,18600,18611,18615,18610,D,9851 + 8759 = 18610.,Math / Mathematics,Addition
What is 98.01 + 54.08?,153.09,151.99,152.09,151.59,C,98.01 + 54.08 = 152.09.,Math / Mathematics,Decimals
Solve for x: 8x + (4) = -156,-23,-17,-20,-21,C,"8x = -156 - (4) = -160, so x = -160/8 = -20.",Math / Mathematics,Equations
Solve for x: 12x + (-25) = 47,2,8,5,6,D,"12x = 47 - (-25) = 72, so x = 72/12 = 6.",Math / Mathematics,Equations
What is 183.21 - 41.99?,141.32,140.72,140.22,141.22,D,183.21 - 41.99 = 141.22.,Math / Mathematics,Decimals
What is 53 × 58?,3076,3074,3072,3064,B,53 × 58 = 3074.,Math / Mathematics,Multiplication
Which symbol correctly compares 132 and 329? (132 ___ 329),>,<,=,≥,B,132 < 329.,Math / Mathematics,Comparison
What is 7/8 + 4/3 (in simplest form)?,51/23,52/24,53/24,54/24,C,7/8 + 4/3 = 53/24 = 53/24 in simplest form.,Math / Mathematics,Fractions
What is 7/11 + 1/10 (in simplest form)?,82/111,79/110,81/110,79/109,C,7/11 + 1/10 = 81/110 = 81/110 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 196 and -189? (196 ___ -189),=,>,≥,<,B,196 > -189.,Math / Mathematics,Comparison
Solve for x: 4x + (10) = 34,5,4,3,6,D,"4x = 34 - (10) = 24, so x = 24/4 = 6.",Math / Mathematics,Equations
What is 50% of 1880?,940,945,920,925,A,50% of 1880 = (50/100) × 1880 = 940.,Math / Mathematics,Percentage
What is 9580 + 7893?,17473,17453,17493,17471,A,9580 + 7893 = 17473.,Math / Mathematics,Addition
What is 15% of 930?,130,145,140,150,C,15% of 930 = (15/100) × 930 = 140.,Math / Mathematics,Percentage
What is 4372 + 4849?,9226,9221,9222,9219,B,4372 + 4849 = 9221.,Math / Mathematics,Addition
What is 60% of 1880?,1148,1123,1128,1118,C,60% of 1880 = (60/100) × 1880 = 1128.,Math / Mathematics,Percentage
What is 8/5 + 7/11 (in simplest form)?,122/55,123/55,125/57,122/56,B,8/5 + 7/11 = 123/55 = 123/55 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 130 and 469? (130 ___ 469),<,≥,=,>,A,130 < 469.,Math / Mathematics,Comparison
What is 5339 + 8531?,13870,13865,13868,13860,A,5339 + 8531 = 13870.,Math / Mathematics,Addition
Solve for x: 12x + (-31) = 53,7,3,8,4,A,"12x = 53 - (-31) = 84, so x = 84/12 = 7.",Math / Mathematics,Equations
What is 125 - 114?,16,13,6,11,D,125 - 114 = 11.,Math / Mathematics,Subtraction
Solve for x: 11x + (29) = 62,1,3,6,7,B,"11x = 62 - (29) = 33, so x = 33/11 = 3.",Math / Mathematics,Equations
What is 10% of 360?,46,36,26,51,B,10% of 360 = (10/100) × 360 = 36.,Math / Mathematics,Percentage
What is 6369 - 4000?,2349,2367,2369,2371,C,6369 - 4000 = 2369.,Math / Mathematics,Subtraction
What is 8/11 + 3/12 (in simplest form)?,43/44,44/43,42/44,44/46,A,8/11 + 3/12 = 43/44 = 43/44 in simplest form.,Math / Mathematics,Fractions
What is 70 × 98?,6850,6860,6762,6870,B,70 × 98 = 6860.,Math / Mathematics,Multiplication
What is 6/7 + 6/3 (in simplest form)?,19/9,18/7,20/7,21/9,C,6/7 + 6/3 = 20/7 = 20/7 in simplest form.,Math / Mathematics,Fractions
What is 8/10 + 2/10 (in simplest form)?,2/1,1/1,0/2,3/2,B,8/10 + 2/10 = 1 = 1/1 in simplest form.,Math / Mathematics,Fractions
What is 572 ÷ 4?,141,145,138,143,D,"572 ÷ 4 = 143, since 4 × 143 = 572.",Math / Mathematics,Division
What is 846 ÷ 47?,17,18,19,14,B,"846 ÷ 47 = 18, since 47 × 18 = 846.",Math / Mathematics,Division
What is 4805 ÷ 31?,151,159,157,155,D,"4805 ÷ 31 = 155, since 31 × 155 = 4805.",Math / Mathematics,Division
What is 8850 + 7320?,16170,16172,16168,16160,A,8850 + 7320 = 16170.,Math / Mathematics,Addition
Which symbol correctly compares 26 and 323? (26 ___ 323),>,=,≥,<,D,26 < 323.,Math / Mathematics,Comparison
What is 86.16 - 49.46?,34.70,37.20,36.60,36.70,D,86.16 - 49.46 = 36.70.,Math / Mathematics,Decimals
What is 45.17 - 7.95?,36.72,37.22,37.32,37.12,B,45.17 - 7.95 = 37.22.,Math / Mathematics,Decimals
What is 2970 ÷ 18?,162,168,166,165,D,"2970 ÷ 18 = 165, since 18 × 165 = 2970.",Math / Mathematics,Division
Which symbol correctly compares 34 and -399? (34 ___ -399),<,=,>,≥,C,34 > -399.,Math / Mathematics,Comparison
What is 405 ÷ 15?,25,26,28,27,D,"405 ÷ 15 = 27, since 15 × 27 = 405.",Math / Mathematics,Division
What is 5/6 + 1/12 (in simplest form)?,9/13,13/11,10/14,11/12,D,5/6 + 1/12 = 11/12 = 11/12 in simplest form.,Math / Mathematics,Fractions
What is 15% of 1630?,244,264,249,239,A,15% of 1630 = (15/100) × 1630 = 244.,Math / Mathematics,Percentage
What is 8/6 + 7/10 (in simplest form)?,63/29,62/29,63/30,61/30,D,8/6 + 7/10 = 61/30 = 61/30 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares -498 and 346? (-498 ___ 346),>,≥,=,<,D,-498 < 346.,Math / Mathematics,Comparison
What is 42 × 2?,84,74,82,83,A,42 × 2 = 84.,Math / Mathematics,Multiplication
What is 184.49 - 132.15?,54.34,51.84,53.34,52.34,D,184.49 - 132.15 = 52.34.,Math / Mathematics,Decimals
What is 9/2 + 5/9 (in simplest form)?,89/18,89/17,91/18,92/18,C,9/2 + 5/9 = 91/18 = 91/18 in simplest form.,Math / Mathematics,Fractions
What is 9/10 + 9/8 (in simplest form)?,79/42,79/39,82/40,81/40,D,9/10 + 9/8 = 81/40 = 81/40 in simplest form.,Math / Mathematics,Fractions
What is 15 × 31?,467,466,455,465,D,15 × 31 = 465.,Math / Mathematics,Multiplication
What is 816 ÷ 16?,48,53,51,50,C,"816 ÷ 16 = 51, since 16 × 51 = 816.",Math / Mathematics,Division
Solve for x: 10x + (-30) = 110,12,10,14,17,C,"10x = 110 - (-30) = 140, so x = 140/10 = 14.",Math / Mathematics,Equations
Solve for x: 10x + (-21) = -221,-24,-20,-22,-23,B,"10x = -221 - (-21) = -200, so x = -200/10 = -20.",Math / Mathematics,Equations
What is 9811 + 5587?,15399,15388,15397,15398,D,9811 + 5587 = 15398.,Math / Mathematics,Addition
What is 15% of 1900?,295,275,285,280,C,15% of 1900 = (15/100) × 1900 = 285.,Math / Mathematics,Percentage
What is 165 ÷ 15?,11,8,15,14,A,"165 ÷ 15 = 11, since 15 × 11 = 165.",Math / Mathematics,Division
What is 183.46 - 28.99?,154.47,154.37,153.97,153.47,A,183.46 - 28.99 = 154.47.,Math / Mathematics,Decimals
What is 12 × 5?,60,59,55,58,A,12 × 5 = 60.,Math / Mathematics,Multiplication
What is 3446 - 3232?,215,214,219,212,B,3446 - 3232 = 214.,Math / Mathematics,Subtraction
What is 6/5 + 2/4 (in simplest form)?,17/10,15/9,15/12,15/11,A,6/5 + 2/4 = 17/10 = 17/10 in simplest form.,Math / Mathematics,Fractions
What is 8/6 + 2/8 (in simplest form)?,19/12,18/13,18/11,17/12,A,8/6 + 2/8 = 19/12 = 19/12 in simplest form.,Math / Mathematics,Fractions
What is 9/10 + 1/7 (in simplest form)?,72/70,73/70,75/72,74/72,B,9/10 + 1/7 = 73/70 = 73/70 in simplest form.,Math / Mathematics,Fractions
What is 194.02 + 107.85?,303.87,302.87,301.87,301.77,C,194.02 + 107.85 = 301.87.,Math / Mathematics,Decimals
Solve for x: 5x + (4) = 34,9,6,7,4,B,"5x = 34 - (4) = 30, so x = 30/5 = 6.",Math / Mathematics,Equations
What is 5% of 1960?,113,98,108,78,B,5% of 1960 = (5/100) × 1960 = 98.,Math / Mathematics,Percentage
What is 70% of 1830?,1266,1271,1281,1286,C,70% of 1830 = (70/100) × 1830 = 1281.,Math / Mathematics,Percentage
What is 91 × 27?,2366,2548,2457,2484,C,91 × 27 = 2457.,Math / Mathematics,Multiplication
What is 40% of 1510?,614,619,624,604,D,40% of 1510 = (40/100) × 1510 = 604.,Math / Mathematics,Percentage
What is 32 × 45?,1440,1442,1430,1450,A,32 × 45 = 1440.,Math / Mathematics,Multiplication
What is 2155 + 8305?,10458,10460,10480,10440,B,2155 + 8305 = 10460.,Math / Mathematics,Addition
Which symbol correctly compares -416 and -33? (-416 ___ -33),>,≥,<,=,C,-416 < -33.,Math / Mathematics,Comparison
What is 6649 + 5515?,12174,12165,12144,12164,D,6649 + 5515 = 12164.,Math / Mathematics,Addition
What is 2255 ÷ 41?,56,52,55,53,C,"2255 ÷ 41 = 55, since 41 × 55 = 2255.",Math / Mathematics,Division
