Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
110,"Fill in the blank: ______ refers to ""system software that manages computer hardware, software resources, and provides common services for programs"".",iOS,Windows,a file system,an operating system (OS),D,"an operating system (OS) refers to: system software that manages computer hardware, software resources, and provides common services for programs",Software,Operating Systems
111,How many Bytes is 32 Petabyte (PB)(s) equal to?,3.60288e+13,3.51844e+13,3.68935e+19,3.60288e+16,D,"1 Petabyte (PB) = 1024^5 Byte(s) (relative scale), so 32 Petabyte (PB)(s) = 3.60288e+16 Byte(s).",Hardware,Storage Units
112,Which statement correctly describes sentiment analysis?,an AI application that automatically identifies and filters unwanted or malicious emails,an NLP technique used to determine the emotional tone behind a piece of text,an AI application that converts spoken language into text,a mobile or web application that uses AI to translate text or speech in real time between languages,B,"By definition, sentiment analysis is: an NLP technique used to determine the emotional tone behind a piece of text",AI – Artificial Intelligence,AI Applications
113,"Fill in the blank: ______ refers to ""the balance between a model's error due to overly simplistic assumptions (bias) and its sensitivity to small fluctuations in data (variance)"".",a baseline model,underfitting,a label (in ML),bias-variance tradeoff,D,bias-variance tradeoff refers to: the balance between a model's error due to overly simplistic assumptions (bias) and its sensitivity to small fluctuations in data (variance),ML – Machine Learning,ML Basics
114,Ireland is located on which continent?,Asia/Europe,Europe/Asia,Europe,Africa,C,Ireland is located in Europe.,General Knowledge (GK),Geography
115,"Fill in the blank: ______ refers to ""a method of dismissal where a fielder breaks the stumps with the ball while a batsman is out of their crease"".",a yorker,a googly,the Ranji Trophy,a run-out,D,a run-out refers to: a method of dismissal where a fielder breaks the stumps with the ball while a batsman is out of their crease,Cricket,Rules
116,Find the Simple Interest on ₹16097 at 4% per annum for 1 years.,644,844,944,544,A,SI = (P × R × T)/100 = (16097 × 4 × 1)/100 = ₹644.,Aptitude,Simple Interest
117,What is a DELETE request?,"a security vulnerability where malicious SQL code is inserted into a query, potentially compromising a database","a message sent by a server back to a client, containing the requested data or status information",an HTTP method used to remove a specified resource from a server,a tool that combines templates with data to generate dynamic HTML output on the server side,C,a DELETE request is: an HTTP method used to remove a specified resource from a server,Web Development,Backend
118,"Which number is the odd one out: 9, 24, 74, 33?",9,24,33,74,D,74 is the odd one out because it is not a multiple of 3; the rest are.,Puzzles,Odd One Out
119,"White has 2 pawns, 1 knight, 2 bishops, 2 rooks, 1 queen. Black has 8 pawns, 2 knights, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 6 point(s),Black is ahead by 1 point(s),White is ahead by 4 point(s),Black is ahead by 3 point(s),D,"White's material = 30. Black's material = 33. Difference = 3, so Black is ahead by 3 point(s).",Chess,Piece Values
120,What is 4393 + 1381?,5779,5772,5774,5773,C,4393 + 1381 = 5774.,Math / Mathematics,Addition
121,What is the Cabinet Mission Plan?,a set of major economic reforms launched in 1991 that opened up India's economy to global trade and investment,a 1954 treaty between India and China outlining five principles of peaceful coexistence,"a 1946 British plan proposing a federal structure for a united, independent India, which ultimately failed to prevent partition",a British colonial policy allowing annexation of princely states without a natural heir,C,"the Cabinet Mission Plan is: a 1946 British plan proposing a federal structure for a united, independent India, which ultimately failed to prevent partition",History,Indian History
122,What is omnivores?,animals that eat both plants and other animals,the natural environment in which an organism lives,"an organism that breaks down dead organic matter, recycling nutrients back into the ecosystem",animals that feed exclusively on other animals,A,omnivores is: animals that eat both plants and other animals,Science,Biology
123,"Which term matches this description: ""a star that never sets below the horizon as seen from a particular latitude""?",a nebula,a leap year,the term 'circumpolar star',a comet,C,The description matches the term 'circumpolar star': a star that never sets below the horizon as seen from a particular latitude,Space,Astronomy
124,What is vyanjana (in Kannada grammar)?,"meaning 'your' (formal/plural), used as a possessive pronoun in Kannada","suffixes added to Kannada nouns to indicate their grammatical role in a sentence, such as subject, object, or possession",consonant sounds in the Kannada alphabet,Kannada generally follows a Subject-Object-Verb (SOV) word order,C,vyanjana (in Kannada grammar) is: consonant sounds in the Kannada alphabet,Kannada Subjects,Kannada Grammar
125,Choose the word that is similar in meaning to 'important':,significant,dense,untrue,impoverished,A,'significant' is similar in meaning to 'important'.,English Subjects,Synonyms
126,"Which Indian state/union territory has its capital at Gangtok, located in Northeast India?",Haryana,Chandigarh,Manipur,Sikkim,D,"Gangtok, the capital of Sikkim, is located in Northeast India.",Social Science,Indian States and Capitals
127,"Which term matches this description: ""the practice of creating clear, structured documentation for technical products, such as user manuals""?",a repository (in version control),an API (Application Programming Interface),technical writing,a software architecture,C,"The description matches technical writing: the practice of creating clear, structured documentation for technical products, such as user manuals",Software,Software Development
128,How many Gigabyte (GB)s is 22 Byte(s) equal to?,2.04891e-08,2.04891e-09,2.04891e-07,4.09782e-08,A,"1 Byte = 1024^-3 Gigabyte (GB)(s) (relative scale), so 22 Byte(s) = 2.04891e-08 Gigabyte (GB)(s).",Hardware,Storage Units
129,"Which term matches this description: ""software that uses generative AI to automatically produce written, visual, or audio content""?",an AI model's citation behaviour,a diffusion model,an AI content generation tool,an AI model's instruction-following ability,C,"The description matches an AI content generation tool: software that uses generative AI to automatically produce written, visual, or audio content",AI – Artificial Intelligence,Generative AI
130,"A classifier has 11 true positives, 90 true negatives, 61 false positives, and 44 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.49,0.39,0.69,0.59,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (11+90)/(11+90+61+44) = 0.49.,ML – Machine Learning,Model Evaluation
131,What is the Amazon River?,"the deepest and one of the largest freshwater lakes in the world, located in Russia","the largest river by discharge volume of water in the world, flowing through South America","the deepest known part of the world's oceans, located in the western Pacific Ocean","the largest hot desert in the world, located in North Africa",B,"the Amazon River is: the largest river by discharge volume of water in the world, flowing through South America",General Knowledge (GK),Geography
